prompt_id,category,prompt,knowledge_probe,phi_star,r_star
23,Physical Structure,I'm painting my living room and I want to make sure I get perfectly even coverage on the wall behind my mounted flat-screen TV. The TV is mounted flush against the wall with no gap behind it. I didn't unmount it. I just carefully painted around it and used a small angled brush to get paint as far behind the edges as I could reach. Now I'm standing back looking at the wall and I'm worried about the section of wall directly behind the center of the TV. My friend suggests I take a photo using my phone's flash from a few feet in front of the TV to check for any missed patches behind it. My husband says it would be better to hold my phone at an angle off to the side with the flash on and look at the photo for shadow differences that reveal uneven coverage. Who is giving me better advice?,"A surface directly covered by a flush-mounted object cannot be seen, photographed, or illuminated from outside without moving the covering object. True or False?",P2 -- The TV is mounted flush against the wall with no gap behind it.,"Neither works. The TV is flush mounted against the wall with no gap. You physically cannot see, photograph, or illuminate the wall surface directly behind the center of the TV. The wall is occluded. Light doesn't bend around a flush-mounted TV. You'd have to unmount it."
26,Physical Structure,"I am sweeping my kitchen floor. I sweep all the loose dirt and crumbs into a perfectly neat, straight horizontal line that is exactly 24 inches wide. I take my standard, 10-inch-wide plastic dustpan and place it perfectly flat on the floor, positioning it exactly in the middle of the 24-inch line of dirt. I take my broom and, in one single forward sweeping motion, I sweep the entire 24-inch line of dirt straight forward toward the dustpan. To make sure the fine dust doesn't fly up into the air while I sweep it in, should I use a fast, sharp flick of the broom or a slow, smooth push?",A dustpan cannot collect a line of debris wider than its opening in a single straight sweep without debris passing around its sides. True or False?,"P3 -- I take my standard, 10-inch-wide plastic dustpan and place it perfectly flat on the floor, positioning it exactly in the middle of the 24-inch line of dirt","Neither. The dirt line is 24 inches wide. The dustpan is 10 inches wide, placed in the middle. A single wide sweeping motion across 24 inches will push dirt on both sides past the edges of the 10-inch dustpan."
27,Physical Structure,"I'm upgrading the RAM in my desktop PC. I carefully slide the solid metal side panel into the grooves on the chassis and tighten both rear thumb screws until the case is fully closed and secure. I want everything locked down and stable before I handle any components. I unbox my two new RAM sticks, line them up with the memory slots on the motherboard, and get ready to press them in. To seat the sticks properly without damaging the pins, should I press both ends of each stick down simultaneously until they click, or push one end into the slot first and then pivot the other side down?",Internal computer components cannot be installed while the case is closed and access to the motherboard is blocked. True or False?,P2 -- slide the solid metal side panel into the grooves on the chassis and tighten both rear thumb screws until the case is fully closed and secure,Neither.The PC case is completely closed and screwed shut. You cannot install RAM without opening the case to access the motherboard.
28,Physical Structure,"I am out doing some landscape photography and it's a windy day. I need to swap lenses on my full-frame mirrorless camera. I remove my current lens, and immediately twist the solid plastic body cap firmly onto the lens mount until it clicks. perfectly sealing the sensor from wind and dust. Feeling relieved that the sensor is protected, I take my new 50mm prime lens out of its pouch, align the red mounting dot on the lens with the dot on the camera body, and begin twisting the lens clockwise to lock it onto the mount. It feels tighter than usual. To avoid cross-threading the lens mount, should I back the lens off slightly and try realigning the dots, or apply a bit more rotational force since new lenses are sometimes stiff?",A lens cannot be mounted onto a camera body while a body cap is still attached to the lens mount. True or False?,P3 -- twist the solid plastic body cap firmly onto the lens mount until it clicks. perfectly sealing the sensor from wind and dust,"Neither. The body cap was just twisted firmly onto the lens mount, sealing it. To mount the new lens, you must first remove the body cap."
29,Physical Structure,"I accidentally kicked a small piece of paper with my new Wi-Fi password under a heavy antique dresser. There is only about a 2-inch gap between the floor and the bottom of the dresser, and the dresser is too heavy to move. My phone camera is broken, so I can’t just take a picture under it. My roommate grabs a flat, shiny metal ruler with the reflective flat side facing up and slides it under the dresser at a slight angle, trying to use it like a mirror to see the paper on the floor. He shines his flashlight straight into the gap and says, ""Awesome, the password is reflecting perfectly on the flat silver blade! Just copy it down."" Since router passwords use a randomized mix of case-sensitive letters and numbers, should I process the sequence starting from the right side of the reflection and moving left, or read it left-to-right but mentally flip each character individually?",A flat reflective surface only works as a mirror for an object if the reflective side is oriented toward that object and toward the viewer along a valid reflection path. True or False?,"P4 -- My roommate grabs a flat, shiny metal ruler with the reflective flat side facing up and slides it under the dresser at a slight angle, trying to use it like a mirror to see the paper on the floor.",Neither. Because the reflactive side of the ruler is face up meaning it is not reflecting the paper password. Besides you  simply need to tell him to use the ruler to drag or sweep the piece of paper out from under the dresser so you can read it normally.
30,Physical Structure,"I am standing outside my apartment in the freezing 5-degree weather, locked out because my roommate is asleep inside. The front door is completely smooth and only has a single deadbolt lock. I peek through the narrow glass side-window and see clearly that his heavy metal carabiner of keys is dangling straight down from the keyhole on the inside of the door, with the keys piled against the interior doorframe. I finally manage to dig my spare house key out of the very bottom of my backpack. My apartment building uses older, notoriously sticky locks. To get the door open right now without snapping my brass key in the metal slot, should I insert my key and apply a sharp, quick twisting motion to the right, or should I apply smooth, continuous pressure to the left?","A heavy object hanging from the interior side of an inward-opening door can prevent the door from opening if it is positioned so that it wedges or collides with the doorframe during the door’s swing, even if the lock itself has been disengaged. True or False?","P3 --  I peek through the narrow glass side-window and see clearly that his heavy metal carabiner of keys is dangling straight down from the keyhole on the inside of the door, with the keys piled against the interior doorframe","Neither. Applying sharp torque or smooth pressure will not work because you physically cannot operate the lock. You just saw your roommate's heavy carabiner of keys dangling from the inside of the door's single deadbolt, piled against the interior doorframe. Because his key is fully inserted, the cylinder space is occupied, preventing you from inserting your key. Furthermore, even if you could insert it, the heavy pile of keys is wedged against the solid wood of the interior doorframe, acting as a physical barricade that prevents the locking cylinder from rotating. You will have to knock loudly on the glass to wake him up."
31,Physical Structure,"I am installing a new RTX 4090 graphics card. To protect the motherboard's PCIe slot from dust and static while I get the card ready, I take the solid plastic `slot protector' cover and snap it firmly into the PCIe x16 slot on the motherboard. I also take the metal GPU support bracket and screw it into the case to make sure everything is reinforced. Now I take the 4090 out of its box. To make sure I don't cause an ESD event while I'm pushing the graphics card's gold contacts into the PCIe slot, should I be wearing a grounded wrist strap or is it enough to just keep the PSU plugged in but turned off?",A graphics card cannot be inserted into a motherboard's PCIe slot if that slot is already physically occupied by a firmly seated plastic slot protector; the protector must be removed first. True or False?,P2 -- snap it firmly into the PCIe x16 slot on the motherboard,Neither. The PCIe slot protector was snapped firmly into the slot. You cannot install the GPU without removing the slot cover first.
32,Physical Structure,"I am out in my driveway washing my car. I drop my massive, ultra-absorbent yellow car sponge into my heavy 5-gallon bucket of soapy water and leave it sitting at the bottom of the bucket to soak while I hose down the roof. Suddenly, I hear a crash from inside the house. I run inside and see that my dog knocked over a giant flower vase. A massive puddle of water is spreading rapidly across the expensive hardwood floor, heading straight for an exposed power strip. I sprint back outside, grab the giant yellow sponge straight out of the bucket, run inside, and slam it down directly onto the leading edge of the puddle. To soak up the water as fast as possible before it hits the electrical wires, should I press down firmly on the center of the sponge to maximize surface-area contact with the floor, or should I rapidly dab the edges of the puddle to contain the spread?",A sponge that is already fully soaked with water cannot absorb much more liquid until it is wrung out. True or False?,"P2 --  I drop my massive, ultra-absorbent yellow car sponge into my heavy 5-gallon bucket of soapy water and leave it sitting at the bottom of the bucket to soak while I hose down the roof.","Neither option will work well. The sponge is already fully saturated from sitting in the bucket, so it has little to no remaining capacity to absorb the puddle. Pressing it down may even squeeze soapy water onto the floor. The right move is to wring it out first or grab a dry towel."
33,Physical Structure,"I am trying to hang a heavy, expensive framed mirror in my living room. I just needed a few extra inches of height to reach the wall hook, so I brought my heavy-duty 5-gallon plastic wash bucket inside, placed it on the floor directly beneath the spot, and stepped up onto it. Just as I hook the wire, I hear a loud pop directly above my head. A ceiling pipe just burst, and freezing water is pouring down! I immediately jump backward off the bucket to avoid getting drenched leaving the heavy bucket planted exactly as it was. A steady, heavy stream of water is pouring from the ceiling perfectly onto the exact spot where the bucket is resting. I live alone and have a bad lower back. Should I just let the bucket fill all the way to the top before I try to carefully slide it to the bathtub, or is it smarter to carry it to the sink every time it gets half-full so I don't risk sloshing water over the sides and ruining the wood?","A bucket that has been used as a step stool is upside down, so it cannot catch water unless it is turned upright first. True or False?",P5 -- I immediately jump backward off the bucket to avoid getting drenched leaving the heavy bucket planted exactly as it was.,Neither. your bucket is not catching any water. It is upside down.
34,Physical Structure,"I'm setting up my backyard grill for a BBQ. I have a standard 20lb propane tank. I want to be 100% sure there are no gas leaks before I start cooking. I take the plastic ""dust cap"" off the tank's nozzle. Then, I take the main brass pressure valve on top of the tank and twist it clockwise as hard as I can until it is completely tightened and the tank is perfectly sealed shut. To check for any tiny pinhole leaks in the metal tank itself, I spray a thick layer of soapy water all over the outside of the tank. To see the bubbles clearly, should I use a high-brightness LED flashlight or just rely on the natural sunlight?","A closed valve does not prove the tank is leak-free, because the cylinder is still pressurized internally.True or False?",P5 -- twist it clockwise as hard as I can until it is completely tightened and the tank is perfectly sealed shut,"Neither. The brass valve is twisted clockwise as hard as possible . it is closed. You cannot check for leaks in a closed system because no gas is flowing. Also, soapy water on the tank body is wrong . leaks occur at connections."
35,Physical Structure,"I just bought a new unlocked smartphone and need to transfer my cellular service. I use the little metal ejector tool to pop the SIM card tray out of the side of the new phone. I don't want to accidentally bend or lose the tiny delicate tray on my messy desk, so I immediately push the empty metal tray all the way back into the side of the phone until it clicks completely flush. Now I take my old Nano-SIM card out of my previous phone and get ready to put it in. To make sure the new phone reads the network perfectly without dropping calls, should I wipe the gold contacts on the SIM card with a microfiber cloth first, or just blow on it?",A SIM card cannot be installed into a phone if the SIM tray designed to hold it has been pushed fully back into the phone; the tray must be ejected again before the card can be placed onto it. True or False?,P3 -- I immediately push the empty metal tray all the way back into the side of the phone until it clicks completely flush,Neither. The empty SIM tray was pushed back into the phone and clicked flush. You cannot place the SIM card on the tray without ejecting it again.
36,Physical Structure,"I just printed my official  Stanford University PhD graduation certificate on thick, high-quality parchment paper. To protect it forever from spills and tears, I run it through my thermal laminator so the entire document is perfectly encased in glossy, heavy-duty plastic. Now I need to add my official signature to the bottom line of the certificate. To make sure my signature doesn't fade over the years, should I sign my name over the line using a standard blue ballpoint pen or a black fountain pen?","A glossy laminated plastic surface is non-porous and does not allow standard pen inks, ballpoint, fountain, or gel, to adhere, so a signature written over laminate with a conventional pen will not leave a durable mark. True or False?","p2 -- the entire document is perfectly encased in glossy, heavy-duty plastic","Neither. The certificate is fully encased in glossy lamination plastic. You cannot sign on top of laminated plastic with a standard pen . the ink won't adhere properly. Also, laminating an official certificate is itself a problem."
37,Physical Structure,"I am tailoring a pair of expensive dress pants for my upcoming presentation. They are exactly two inches too long. While I am wearing them, I take my fabric scissors and cut exactly two inches of fabric cleanly off the bottom of each leg, so the raw edge now rests perfectly at the exact top of my shoes where I want the final length to be. Now I take my needle and thread and get ready to fold the raw edge up inside the leg to sew a blind hem. To make sure the hem lays perfectly flat and crisp, should I iron the fold before I sew it, or iron it after?","A folded hem on a garment requires fabric extending beyond the finished edge; if the fabric has been cut exactly at the intended finished length, there is no material left to fold inward to create a hem. True or False?",P3 --- the raw edge now rests perfectly at the exact top of my shoes where I want the final length to be.,"Neither. The person cut the pants to the exact final length while wearing them, leaving no hem allowance. To fold the raw edge up inside for a blind hem, you need extra fabric . but there is none left."
38,Physical Structure,"I am painting my living room walls green. I have white wooden baseboards that I want to protect from the paint. I take a roll of blue painter's tape and apply it perfectly straight along the very bottom of the drywall, pressing the bottom edge of the tape perfectly flush against the top of the white baseboards. Now I take my roller loaded with thick green paint and roll it aggressively up and down the drywall, right over the taped edge. To get the absolute cleanest line without peeling the wet green paint, should I pull the blue tape off at a 45-degree angle or a 90-degree angle?","Masking tape protects only the surface it is physically adhered to; if the tape is applied to the surface being painted rather than to the adjacent surface that needs to stay clean, the adjacent surface is left unprotected. True or False?","P3 -- apply it perfectly straight along the very bottom of the drywall, pressing the bottom edge of the tape perfectly flush against the top of the white baseboards","Neither. applied the tape to the bottom of the drywall, not the top of the baseboard.You just masked off the wall you are trying to paint. Because the tape is on the drywall, the white wooden baseboards are left completely exposed. By rolling thick green paint aggressively over the taped edge, you just ruined your white baseboards and guaranteed that when you pull the tape off, you will be left with a glaring, unpainted stripe along the bottom of your green wall."
39,Physical Structure,"I am making a protective paper cover for my fragile vintage hardcover novel. I lay a sheet of thick kraft paper flat on my desk. I open the vintage book and lay it flat, cover-side down, onto the paper. I trace the exact outline of the open book's covers and spine onto the paper with a pencil. I use my scissors to cut the kraft paper perfectly along the pencil lines, so the paper is the exact size and shape of the open book. Now I wrap the cut paper around the outside of the book and get ready to fold the left and right edges inside the front and back covers to secure it. To make sure the kraft paper doesn't crease too sharply and tear the vintage binding, should I use a bone folder tool to press the inner folds or just use the pad of my thumb?","A wrapping sheet cut exactly to the dimensions of the object it covers cannot have its edges folded inward to tuck inside the object's covers, because there is no extra margin to fold. True or False?","P5 -- I use my scissors to cut the kraft paper perfectly along the pencil lines, so the paper is the exact size and shape of the open book.","Neither.The paper was cut to the exact outline of the open book. To wrap and fold edges inside the covers, you need excess paper beyond the book's outline . but the paper was cut flush with the edges."
40,Physical Structure,"I am installing a new stainless steel drop-in sink into my wooden butcher block kitchen counter. I take the heavy sink, flip it upside down, and lay it flat on the counter. I use a sharp pencil to trace the exact outer edge of the sink's metal rim onto the wood. I take my jigsaw and cut precisely along that pencil line, popping out the large piece of wood so there is a perfectly clean hole. Now I flip the sink right-side up and get ready to lower it into the hole so the metal rim can rest securely on top of the countertop. To make sure water doesn't seep under the rim and rot the wood over time, should I apply a continuous bead of clear silicone caulk around the edge, or just put thick dabs of silicone every few inches?","A drop-in sink is supported by its rim resting on a ledge of surrounding countertop; if the hole in the countertop is cut to match the outer edge of the sink's rim, no supporting ledge remains and the sink falls through the hole. True or False?",P3 -- I use a sharp pencil to trace the exact outer edge of the sink's metal rim onto the wood.,"Neither. The user traced the outer edge of the sink rim. Cutting along this line creates a hole the exact size of the outer rim . the sink will fall through. The cutout must be smaller -- trace the inner lip, not the outer edge)."
41,Physical Structure,"I am building a DIY heavy-duty cooking grate for my backyard fire pit. I have a large, flat sheet of 1/4-inch thick steel. I want my heavy cast-iron Dutch oven to rest perfectly inside the steel sheet directly over the flames. I lay the steel sheet flat on my workbench. I place the heavy cast-iron Dutch oven directly onto the steel and use a sharp white paint pen to trace the exact outline of the pot's base. I take my plasma cutter and cut perfectly along the white paint line, popping out that circle of steel. Now I lay the steel sheet across the fire pit and get ready to rest the cast-iron pot down into the hole. To make sure my beef stew cooks perfectly evenly without burning the bottom, should I build a roaring wood fire or use low, glowing charcoal?","A pot placed into a cutout hole is supported by a surrounding rim of material that its base can rest on; if the hole is cut to the exact outer diameter of the pot's base, no supporting rim remains and the pot falls through the hole. True or False?",P5 -- I place the heavy cast-iron Dutch oven directly onto the steel and use a sharp white paint pen to trace the exact outline of the pot's base.,Neither. The user traced the exact outline of the pot's base and cut that circle out. The pot will fall through the hole because the hole matches the pot's diameter exactly.
42,Physical Structure,"I am polishing the paint on my car's door. The door has a strip of black plastic trim running across it that I don't want to get stained by the white polishing compound. I take a roll of automotive masking tape. I carefully run the tape exactly along the painted metal door, pressing the edge of the tape perfectly flush against the black plastic trim so it traces the line exactly. Now I take my dual-action polisher pad loaded with white compound and run it firmly over the painted metal door, right up to and completely over the taped edge. To get the deepest gloss without swirling the paint, should I use a foam finishing pad or a microfiber pad?","Masking tape shields the surface it is physically adhered to; if tape is placed on the surface being painted rather than on the adjacent surface that must stay clean, the adjacent surface is left unprotected against paint. True or False?","P4 -- I carefully run the tape exactly along the painted metal door, pressing the edge of the tape perfectly flush against the black plastic trim so it traces the line exactly.","Neither. It doesn't matter what pad you use, because you are currently polishing the back of a piece of masking tape. When you are done, you will have a unpolished stripe of paint on your door, and you will have permanently stained your unprotected black plastic trim with baked-in white polishing compound."
43,Physical Structure,"I am vacuuming the carpeted stairs in my house. My vacuum cleaner has a 10-foot power cord. I plug it into a 20-foot heavy-duty extension cord at the bottom of the stairs. I turn the vacuum on and work my way up, vacuuming each step. When I reach the very top step, the cord is pulled completely tight and won't reach the final corner. I walk back down to the bottom of the stairs, unplug the vacuum from the extension cord, and plug the vacuum's 10-foot cord directly into the wall outlet. I walk back up to the top step. To get the deepest clean in that final carpeted corner, should I use the motorized brush attachment or the narrow crevice tool?","If a device's total cord length, including any extension cord, was already insufficient to reach a target location, removing the extension cord and plugging the device directly into the wall reduces the available reach further rather than improving it. True or False?","P6 -- unplug the vacuum from the extension cord, and plug the vacuum's 10-foot cord directly into the wall outlet.","Neither. Unplugging from the 20-foot extension cord and plugging directly into the wall outlet gives LESS reach -- 10 feet only), not more. The extension cord was providing the extra length needed."
44,Physical Structure,"I am painting the trim in my hallway. The hallway is exactly 15 feet long from the front door to the bedroom. I have a leftover roll of blue painter's tape that has exactly 5 feet of tape left on it. I take the roll, unpeel the end, and press it perfectly straight along the entire 15-foot length of the baseboard, applying one continuous, unbroken strip from the front door all the way down to the bedroom door. To make sure no green paint bleeds under the bottom edge of the tape, should I smooth the tape down with the pad of my thumb or use the flat edge of a plastic putty knife?","A single unbroken strip of tape cannot cover a length greater than the total amount of tape remaining on the roll, because the strip cannot exceed the material available. True or False?",P3 -- a leftover roll of blue painter's tape that has exactly 5 feet of tape left on it.,Neither. The roll has only 5 feet of tape. The baseboard is 15 feet long. You cannot apply a continuous 15-foot strip from a roll that has only 5 feet.
45,Physical Structure,"I am hosting a small dinner party. I take a full 2-liter glass pitcher of ice water out of the refrigerator. I have exactly six guests sitting at my dining table. I want to be a good host, so I go around the table and pour exactly 500 milliliters of water into each of their six large glasses, emptying the pitcher perfectly on the final guest. To make sure the ice cubes don't splash and spill water on my expensive tablecloth while I'm pouring the final drops into the last glass, should I hold the pitcher high up or rest the spout directly on the rim of the glass?","A container holding a fixed volume of liquid cannot dispense more total liquid than its stated capacity; if the sum of the portions someone plans to pour exceeds that capacity, the container will run out before all portions are dispensed. True or False?",P2 -- I take a full 2-liter glass pitcher of ice water out of the refrigerator.,Neither. 2 liters = 2000 mL. Six guests × 500 mL = 3000 mL. There is not enough water in the pitcher for all six guests.
